('Malaysia', 'UK'),('Venezuela', 'France'),-0.1164
('Israel', 'UK'),('South Korea', 'Netherlands'),-0.413913043478
('Hungary', 'USSR'),('Netherlands', 'Germany (FRG)'),-0.118484848485
('Norway', 'Sweden'),('Chile', 'Switzerland'),0.358333333333
('Indonesia', 'Germany (FRG)'),('Sweden', 'UK'),-0.123333333333
('Sweden', 'UK'),('Finland', 'Sweden'),-0.145526315789
('South Korea', 'Germany (FRG)'),('Japan', 'France'),0.405185185185
('New Zealand', 'UK'),('Qatar', 'France'),-0.1176
('South Africa', 'UK'),('UAE', 'France'),-0.154722222222
('Syria', 'Czechoslovakia'),('India', 'Germany (FRG)'),-0.14
('Turkey', 'UK'),('USSR', 'Czechoslovakia'),-0.154615384615
('Yugoslavia', 'USSR'),('Peru', 'Italy'),0.2385
('USSR', 'Czechoslovakia'),('Italy', 'France'),-0.111081081081
('Israel', 'UK'),('Brazil', 'Italy'),-0.243529411765
('Israel', 'France'),('UK', 'Germany (FRG)'),-0.274615384615
('Singapore', 'UK'),('Nigeria', 'Italy'),-0.108636363636
('Romania', 'USSR'),('Denmark', 'Sweden'),-0.198
('Israel', 'France'),('Brazil', 'France'),-0.150952380952
('Greece', 'Netherlands'),('Romania', 'USSR'),-0.233333333333
('Norway', 'Germany (FRG)'),('Peru', 'UK'),-0.103
('Finland', 'France'),('South Africa', 'UK'),-0.159473684211
('USSR', 'Czechoslovakia'),('Chile', 'France'),-0.132972972973
('Pakistan', 'UK'),('Saudi Arabia', 'Germany (FRG)'),-0.210909090909
('Netherlands', 'Germany (FRG)'),('Greece', 'Italy'),0.242692307692
('Ghana', 'UK'),('UK', 'Netherlands'),-0.2165
('Peru', 'UK'),('Turkey', 'France'),-0.115333333333
('UK', 'Italy'),('Argentina', 'Italy'),-0.13962962963
('Sweden', 'UK'),('Thailand', 'Germany (FRG)'),-0.2208
('Peru', 'France'),('Cuba', 'USSR'),0.2009375
('China', 'Russia'),('Morocco', 'France'),-0.147
('Norway', 'Sweden'),('Turkey', 'Netherlands'),0.221935483871
('Yugoslavia', 'USSR'),('Finland', 'France'),-0.1148
('South Korea', 'Italy'),('Malaysia', 'Germany (FRG)'),0.240476190476
('Sweden', 'UK'),('Bulgaria', 'USSR'),0.217380952381
('Chile', 'France'),('Canada', 'Switzerland'),0.309545454545
('Spain', 'Germany (FRG)'),('Syria', 'USSR'),-0.176111111111
('Nigeria', 'UK'),('Yugoslavia', 'UK'),0.224473684211
('Austria', 'France'),('South Korea', 'Italy'),-0.20380952381
('India', 'Russia'),('India', 'Russia'),0.643
('Afghanistan', 'USSR'),('Gabon', 'France'),0.395
('USA', 'Italy'),('Spain', 'UK'),0.284
('Hungary', 'USSR'),('Japan', 'France'),-0.267407407407
('Pakistan', 'Sweden'),('Israel', 'UK'),-0.4472
('India', 'USSR'),('Finland', 'USSR'),0.444666666667
('China', 'USSR'),('Turkey', 'Netherlands'),-0.205161290323
('Pakistan', 'Germany (FRG)'),('USA', 'Italy'),-0.11
('China', 'Russia'),('Peru', 'France'),-0.169047619048
('UAE', 'Germany (FRG)'),('Cuba', 'USSR'),-0.1603125
('Portugal', 'France'),('Nigeria', 'Italy'),-0.259545454545
('Peru', 'UK'),('USA', 'Germany (FRG)'),-0.152608695652
('Cuba', 'USSR'),('India', 'USSR'),0.399696969697
('South Yemen', 'USSR'),('Peru', 'UK'),0.209
('Denmark', 'Sweden'),('Iraq', 'UK'),-0.1155
('UAE', 'Germany (FRG)'),('Iran', 'Russia'),0.4855
('Mongolia', 'USSR'),('Peru', 'UK'),0.42
('USSR', 'Poland'),('South Korea', 'Netherlands'),-0.102173913043
('Japan', 'UK'),('India', 'Russia'),0.246
('India', 'Germany (FRG)'),('Syria', 'Czechoslovakia'),-0.13
('Bulgaria', 'USSR'),('Nigeria', 'UK'),0.213076923077
('Japan', 'Italy'),('Qatar', 'France'),0.4512
('Greece', 'France'),('Peru', 'Italy'),0.2355
('Yugoslavia', 'France'),('Viet Nam', 'USSR'),0.252432432432
('South Korea', 'Netherlands'),('Qatar', 'France'),0.348
('Egypt', 'USSR'),('Malaysia', 'Germany (FRG)'),-0.229047619048
('Hungary', 'USSR'),('Israel', 'UK'),0.3348
('UAE', 'France'),('South Korea', 'France'),0.365666666667
('Romania', 'France'),('Venezuela', 'France'),0.286
('Egypt', 'USSR'),('Viet Nam', 'USSR'),0.258918918919
('Viet Nam', 'USSR'),('Romania', 'USSR'),0.3
('Greece', 'Italy'),('Israel', 'UK'),-0.1492
('Romania', 'France'),('Romania', 'France'),0.458148148148
('Yugoslavia', 'UK'),('China', 'France'),-0.304827586207
('UK', 'Italy'),('Japan', 'France'),-0.11
('Czechoslovakia', 'USSR'),('Italy', 'Germany (FRG)'),-0.141428571429
('Romania', 'Czechoslovakia'),('China', 'France'),-0.306551724138
('Netherlands', 'UK'),('India', 'Italy'),-0.134
('Israel', 'France'),('UK', 'Netherlands'),-0.254
('Netherlands', 'Germany (FRG)'),('Peru', 'Italy'),0.376
('India', 'USSR'),('Viet Nam', 'USSR'),0.369459459459
('South Africa', 'Italy'),('India', 'USSR'),0.2
('Australia', 'France'),('Indonesia', 'France'),0.2725
('Austria', 'France'),('Israel', 'UK'),0.2028
('Egypt', 'USSR'),('UAE', 'France'),-0.2225
('Chile', 'France'),('South Korea', 'Netherlands'),0.29
('UAE', 'UK'),('Kenya', 'UK'),0.3275
('Ghana', 'UK'),('UAE', 'Germany (FRG)'),-0.131111111111
('Libya', 'USSR'),('China', 'USSR'),-0.32380952381
('Thailand', 'UK'),('China', 'USSR'),-0.27380952381
('China', 'Russia'),('India', 'Russia'),0.643
('Indonesia', 'Germany (FRG)'),('India', 'Poland'),0.224090909091
('China', 'USSR'),('Netherlands', 'Italy'),-0.1835
('Sweden', 'Germany (FRG)'),('Turkey', 'UK'),0.203448275862
('USSR', 'Czechoslovakia'),('China', 'USSR'),0.24619047619
('India', 'Germany (FRG)'),('Iraq', 'France'),-0.102
('North Korea', 'USSR'),('Malaysia', 'UK'),-0.100571428571
('Mongolia', 'USSR'),('Nigeria', 'Italy'),-0.173181818182
('UAE', 'UK'),('China', 'USSR'),-0.322857142857
('South Africa', 'Italy'),('Ecuador', 'France'),0.233333333333
('Syria', 'USSR'),('Chile', 'Spain'),-0.117727272727
('Bulgaria', 'USSR'),('Egypt', 'France'),0.197826086957
('USSR', 'Czechoslovakia'),('South Korea', 'Netherlands'),-0.241304347826
('Jordan', 'UK'),('China', 'Russia'),-0.273
('China', 'Germany (FRG)'),('Iraq', 'UK'),-0.1315
('UK', 'Germany (FRG)'),('Nigeria', 'Italy'),0.324545454545
('USSR', 'Poland'),('Morocco', 'France'),0.20325
('Peru', 'UK'),('Thailand', 'UK'),-0.124230769231
('Iraq', 'France'),('Yugoslavia', 'France'),0.428636363636
('Viet Nam', 'USSR'),('Spain', 'Germany (FRG)'),-0.182571428571
('Turkey', 'Netherlands'),('Pakistan', 'UK'),-0.13
('East Germany (GDR)', 'USSR'),('Poland', 'USSR'),0.291428571429
('Indonesia', 'France'),('China', 'Russia'),0.2435
('Turkey', 'Netherlands'),('Indonesia', 'UK'),0.252222222222
('Algeria', 'USSR'),('India', 'Germany (FRG)'),-0.145161290323
('Yugoslavia', 'USSR'),('Poland', 'USSR'),0.258095238095
